,uuid,Company_Names,census_id,count,uuid_comp
165,50765cb7-d9ea-4e21-99a4-fa879613a492,,124,11,50765cb7-d9ea-4e21-99a4-fa879613a492
166,8a21c76b-74e3-4341-92be-33fcfdefdd63,,749,11,8a21c76b-74e3-4341-92be-33fcfdefdd63
167,8a21c76b-74e3-4341-92be-33fcfdefdd63,,145,11,8a21c76b-74e3-4341-92be-33fcfdefdd63
168,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5,,107,11,1d19a9f7-66c0-4428-9e61-f2a58b45c6f5
169,8a21c76b-74e3-4341-92be-33fcfdefdd63,,51,11,8a21c76b-74e3-4341-92be-33fcfdefdd63
170,8277a5f1-4166-45d1-9f97-905df2a427d5,,34,11,8277a5f1-4166-45d1-9f97-905df2a427d5
171,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,74,11,Glimworm
172,2686f39c-bada-4658-854a-a62e7e5e8b8d,,122,11,2686f39c-bada-4658-854a-a62e7e5e8b8d
173,7aa9f224-d71e-4758-8f60-aa013261b9ac,,61,11,7aa9f224-d71e-4758-8f60-aa013261b9ac
174,2686f39c-bada-4658-854a-a62e7e5e8b8d,,109,11,2686f39c-bada-4658-854a-a62e7e5e8b8d
175,8277a5f1-4166-45d1-9f97-905df2a427d5,,28,10,8277a5f1-4166-45d1-9f97-905df2a427d5
176,2686f39c-bada-4658-854a-a62e7e5e8b8d,,20,10,2686f39c-bada-4658-854a-a62e7e5e8b8d
177,ba7c72e9-17c1-4ecc-b3c0-0c960b14319e,,122,10,ba7c72e9-17c1-4ecc-b3c0-0c960b14319e
178,5993a94c-7d97-4df7-9abf-e493bfd5d000,,752,10,5993a94c-7d97-4df7-9abf-e493bfd5d000
179,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,,29,10,6ab357ac-96dd-4d5e-a606-b9dd64c570c7
180,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,77,10,Glimworm
181,8a21c76b-74e3-4341-92be-33fcfdefdd63,,77,10,8a21c76b-74e3-4341-92be-33fcfdefdd63
182,b2e5fc49-d460-42b9-893c-27dbaff9430a,,34,10,b2e5fc49-d460-42b9-893c-27dbaff9430a
183,2686f39c-bada-4658-854a-a62e7e5e8b8d,,938,10,2686f39c-bada-4658-854a-a62e7e5e8b8d
184,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,146,10,SXSW
185,8a21c76b-74e3-4341-92be-33fcfdefdd63,,748,10,8a21c76b-74e3-4341-92be-33fcfdefdd63
186,f1eabf09-e313-4fcd-80df-67c779763888,,758,10,f1eabf09-e313-4fcd-80df-67c779763888
187,2a955cfd-667b-4ac8-9141-73b9c168da7e,,117,9,2a955cfd-667b-4ac8-9141-73b9c168da7e
188,8a21c76b-74e3-4341-92be-33fcfdefdd63,,133,9,8a21c76b-74e3-4341-92be-33fcfdefdd63
189,2686f39c-bada-4658-854a-a62e7e5e8b8d,,131,9,2686f39c-bada-4658-854a-a62e7e5e8b8d
190,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,752,9,Glimworm
191,5993a94c-7d97-4df7-9abf-e493bfd5d000,,147,9,5993a94c-7d97-4df7-9abf-e493bfd5d000
192,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,31,9,SXSW
193,307e9194-9fe3-4412-ba98-6e816161a379,,758,9,307e9194-9fe3-4412-ba98-6e816161a379
194,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,133,9,SXSW
195,50765cb7-d9ea-4e21-99a4-fa879613a492,,853,9,50765cb7-d9ea-4e21-99a4-fa879613a492
196,d8db1b53-006f-453a-b832-0f8d6bc3b35f,,147,9,d8db1b53-006f-453a-b832-0f8d6bc3b35f
197,50765cb7-d9ea-4e21-99a4-fa879613a492,,131,9,50765cb7-d9ea-4e21-99a4-fa879613a492
198,e5fae995-38cb-4d78-ac3f-bd349871d6d4,,133,9,e5fae995-38cb-4d78-ac3f-bd349871d6d4
199,5e9917bd-f3ac-41e6-8226-3fd79f340dc5,,133,9,5e9917bd-f3ac-41e6-8226-3fd79f340dc5
200,2686f39c-bada-4658-854a-a62e7e5e8b8d,,747,9,2686f39c-bada-4658-854a-a62e7e5e8b8d
201,2686f39c-bada-4658-854a-a62e7e5e8b8d,,32,9,2686f39c-bada-4658-854a-a62e7e5e8b8d
202,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,53,9,Glimworm
203,8a21c76b-74e3-4341-92be-33fcfdefdd63,,19,9,8a21c76b-74e3-4341-92be-33fcfdefdd63
204,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,13,9,Glimworm
205,09142332-4556-0f78-899e-ebbcce94eff1,,141,8,09142332-4556-0f78-899e-ebbcce94eff1
206,2686f39c-bada-4658-854a-a62e7e5e8b8d,,31,8,2686f39c-bada-4658-854a-a62e7e5e8b8d
207,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,977,8,SXSW
208,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,141,8,Apple AirLocate
209,2686f39c-bada-4658-854a-a62e7e5e8b8d,,120,8,2686f39c-bada-4658-854a-a62e7e5e8b8d
210,06649f1a-51ec-40c2-bae0-d1c063eae3bb,,954,8,06649f1a-51ec-40c2-bae0-d1c063eae3bb
211,00009999-0000-1000-8000-00177a000002,,758,8,00009999-0000-1000-8000-00177a000002
212,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,101,8,Glimworm
213,2686f39c-bada-4658-854a-a62e7e5e8b8d,,74,8,2686f39c-bada-4658-854a-a62e7e5e8b8d
214,50765cb7-d9ea-4e21-99a4-fa879613a492,,855,8,50765cb7-d9ea-4e21-99a4-fa879613a492
215,f7f489e9-c07e-41b0-beab-a24ce4d49faa,,758,8,f7f489e9-c07e-41b0-beab-a24ce4d49faa
216,2686f39c-bada-4658-854a-a62e7e5e8b8d,,752,8,2686f39c-bada-4658-854a-a62e7e5e8b8d
217,50765cb7-d9ea-4e21-99a4-fa879613a492,,805,7,50765cb7-d9ea-4e21-99a4-fa879613a492
218,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,855,7,SXSW
219,2686f39c-bada-4658-854a-a62e7e5e8b8d,,977,7,2686f39c-bada-4658-854a-a62e7e5e8b8d
220,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,120,7,Glimworm
221,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,,51,7,6ab357ac-96dd-4d5e-a606-b9dd64c570c7
222,50765cb7-d9ea-4e21-99a4-fa879613a492,,143,7,50765cb7-d9ea-4e21-99a4-fa879613a492
223,06649f1a-51ec-40c2-bae0-d1c063eae3bb,,147,7,06649f1a-51ec-40c2-bae0-d1c063eae3bb
224,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,55,7,Apple AirLocate
